address_postalCode,LongitudeLatitude
1 ABINGDON ROAD SINGAPORE 499931,103.97882940000001_1.3688600880000001
1 ADAM DRIVE SINGAPORE 289961,103.81660450000001_1.33541509
1 ADMIRALTY LANE MASJID ASSYAFAAH SINGAPORE 757620,103.8193814_1.45577051
1 AH SOO GARDEN SINGAPORE 539947,103.8833202_1.350845065
1 AIDA STREET OPERA ESTATE SINGAPORE 459919,103.9286714_1.316858996
1 AKYAB ROAD ONE AKYAB SINGAPORE 309972,103.8476588_1.322727933
1 ALBERT WINSEMIUS LANE EAST LODGE CLEMENTI SINGAPORE 126785,103.77016590000001_1.320589045
1 ALEXANDRA VIEW ASCENTIA SKY SINGAPORE 158748,103.81700009999999_1.290944732
1 ALIWAL STREET CHENN LEONN BUILDING SINGAPORE 199894,103.8612507_1.301647611
1 ALJUNIED WALK INTERNATIONAL SCHOOL SINGAPORE 387293,103.87872940000001_1.320803832
1 ALLAMANDA GROVE SINGAPORE 269961,103.79458890000001_1.323030317
1 ALMOND CRESCENT MERA GARDENS SINGAPORE 677769,103.7710037_1.373235969
1 ALMOND STREET MERA GARDENS SINGAPORE 677845,103.7725587_1.373136926
1 ALNWICK ROAD SERANGOON GARDEN ESTATE SINGAPORE 559955,103.86762759999999_1.3640374769999999
1 AMBER GARDENS ONE AMBER SINGAPORE 439957,103.8981668_1.30137638
1 AMBER ROAD AMBER POINT SINGAPORE 439845,103.89852309999999_1.2988606790000001
1 AMOY STREET AMOY HOTEL SINGAPORE 049944,103.84857559999999_1.283217981
1 ANCHORVALE STREET SENGKANG COMMUNITY HOSPITAL SINGAPORE 544835,103.89183409999998_1.3960223880000002
1 ANCHORVALE STREET SENGKANG GENERAL HOSPITAL SINGAPORE 544835,103.8926402_1.39572457
1 ANDERSON ROAD THE SHANGRI-LA APARTMENTS SINGAPORE 259983,103.8265384_1.309599915
1 ANDREW ROAD CALDECOTT HILL ESTATE SINGAPORE 299940,103.8319115_1.34005346
1 ANDREWS AVENUE SINGAPORE 759931,103.837149_1.458872508
1 ANDREWS TERRACE SINGAPORE 757417,103.8377432_1.458842279
1 ANG MO KIO AVENUE 10 SINGAPORE 569729,103.85502559999999_1.360135795
1 ANG MO KIO AVENUE 9 FAR HORIZON GARDENS SINGAPORE 569758,103.83855150000001_1.383208774
1 ANG MO KIO ELECTRONICS PARK ROAD ST ENGINEERING HUB SINGAPORE 567710,103.8477378_1.389905905
1 ANG MO KIO INDUSTRIAL PARK 2A AMK TECH 1 SINGAPORE 568049,103.8678561_1.3779473519999998
1 ANG MO KIO STREET 21 ANG MO KIO CHINESE METHODIST CHURCH SINGAPORE 569383,103.8353687_1.3670752240000001
1 ANG MO KIO STREET 21 Ang Mo Kio Methodist Church Kindergarten SINGAPORE 569383,103.8353346_1.3671106309999999
1 ANG MO KIO STREET 21 ANG MO KIO METHODIST CHURCH SINGAPORE 569383,103.8353346_1.3671106380000002
1 ANG MO KIO STREET 21 ANG MO KIO TAMIL METHODIST CHURCH SINGAPORE 569383,103.8353825_1.367070917
1 ANG MO KIO STREET 32 NASCANS @ Teck Ghee SINGAPORE 569299,103.8510098_1.365650185
1 ANG MO KIO STREET 32 TECK GHEE PRIMARY SCHOOL SINGAPORE 569299,103.8509571_1.3655878209999999
1 ANG MO KIO STREET 42 DEYI SECONDARY SCHOOL SINGAPORE 569277,103.8525458_1.365997025
1 ANG MO KIO STREET 63 KENWOOD SINGAPORE 569110,103.8476483_1.384630332
1 ANG MO KIO STREET 63 SINGAPORE 569110,103.8478531_1.3850019480000002
1 ANG MO KIO STREET 64 MAYBANK CENTRE SINGAPORE 569083,103.849198_1.387229439
1 ANG MO KIO STREET 66 FLORAVIEW SINGAPORE 567705,103.85045500000001_1.3914922680000001
1 ANGORA CLOSE SHEPHERD'S HILL ESTATE SINGAPORE 149952,103.80638509999999_1.292035733
1 ANGSANA DRIVE SINGAPORE 627586,103.66173520000001_1.268799175
1 ANN SIANG HILL TELOK AYER CONSERVATION AREA SINGAPORE 069784,103.8453619_1.281610205
1 ANTHONY ROAD CAIRNHILL COMMUNITY CLUB (U/C) SINGAPORE 229944,103.8388827_1.310387675
1 ANTHONY ROAD CAIRNHILL COMMUNITY CLUB SINGAPORE 229944,103.8391771_1.310549737
1 ANTHONY ROAD CAIRNHILL FIRE POST SINGAPORE 229944,103.83895720000001_1.310307342
1 ANTHONY ROAD MULBERRY LEARNING CENTRE @CAIRNHILL PTE LTD SINGAPORE 229944,103.8388827_1.310387678
1 ARDMORE PARK ARDMORE II SINGAPORE 259962,103.8275402_1.309801786
1 ARTS LINK NATIONAL UNIVERSITY OF SINGAPORE (AS2) SINGAPORE 117568,103.77132390000001_1.29518318
1 ARTS LINK NATIONAL UNIVERSITY OF SINGAPORE (LT11) SINGAPORE 117568,103.7713988_1.295470876
1 ASCOT RISE SINGAPORE 289813,103.78974620000001_1.334279602
1 ASH GROVE RAFFLES PARK SINGAPORE 289783,103.80238349999999_1.333565051
1 ASHWOOD GROVE WOODGROVE ESTATE SINGAPORE 739968,103.7759022_1.428471346
1 ASIMONT LANE SINGAPORE 309939,103.8349288_1.32092616
1 ASTRID HILL SINGAPORE 269924,103.79275_1.319077386
1 AVIATION DRIVE SINGAPORE AVIATION ACADEMY SINGAPORE 499867,103.9903138_1.388319971
1 AYER CHAWAN PLACE SINGAPORE 627871,103.7023929_1.278987908
1 AYER RAJAH AVENUE INSEAD SINGAPORE 138676,103.7864793_1.299752023
1 AYER RAJAH AVENUE SORBONNE-ASSAS INTERNATIONAL LAW SCHOOL - ASIA SINGAPORE 138676,103.7867036_1.2995384909999999
1 BAH SOON PAH ROAD SINGAPORE 769959,103.825419_1.4200291530000002
1 BALESTIER ROAD SINGAPORE 329670,103.8581078_1.316363234
1 BALMORAL CRESCENT BALMORAL CREST SINGAPORE 259882,103.83400999999999_1.31585629
