ind,Line,Station,Count,Longtitude,latitude,Station Name
0,DTL,DT1,13,103.7615351,1.379002116,Bukit Panjang
1,DTL,DT2,13,103.7644392,1.369815449,Cashew
2,DTL,DT3,13,103.7674183,1.362344868,Hillview
3,DTL,DT5,13,103.7757943,1.341223176,Beauty World
4,DTL,DT6,13,103.7833991,1.335662762,King Albert Park
5,DTL,DT7,13,103.7969068,1.330857645,Sixth Avenue
6,DTL,DT8,12,103.8077603,1.325556235,Tan Kah Kee
7,DTL,DT9,13,103.8149845,1.322113736,Botanic Gardens
8,DTL,DT10,13,103.8260244,1.320065558,Stevens
9,DTL,DT11,13,103.8379853,1.312320099,Newton
10,DTL,DT12,13,103.849647,1.306800026,Little India
11,DTL,DT13,13,103.8527694,1.303852185,Rochor
12,DTL,DT14,13,103.8557064,1.300465076,Bugis
13,DTL,DT15,13,103.86035,1.293998569,Promenade
14,DTL,DT16,13,103.8590798,1.281873789,Bayfront
15,DTL,DT17,14,103.8528404,1.27944619,Downtown
16,DTL,DT18,14,103.8486488,1.282068948,Telok Ayer
17,DTL,DT19,14,103.8451438,1.284223919,Chinatown
18,DTL,DT20,11,103.8443311,1.292481237,Fort Canning
19,DTL,DT21,11,103.8503538,1.298918434,Bencoolen
20,DTL,DT22,11,103.8552957,1.305171388,Jalan Besar
21,DTL,DT23,11,103.8629776,1.313672528,Bendemeer
22,DTL,DT24,11,103.8716226,1.321301102,Geylang Bahru
23,DTL,DT25,11,103.8832475,1.326876715,Mattar
24,DTL,DT26,11,103.8892986,1.326150243,MacPherson
25,DTL,DT27,11,103.8992267,1.329974629,Ubi
26,DTL,DT28,11,103.9084597,1.334967302,Kaki Bukit
27,DTL,DT29,11,103.9179783,1.334742117,Bedok North
28,DTL,DT30,11,103.9322346,1.33660783,Bedok Reservoir
29,DTL,DT31,11,103.938437,1.345515306,Tampines West
30,DTL,DT32,11,103.9451447,1.353301533,Tampines
31,DTL,DT33,11,103.9546345,1.356191483,Tampines East
32,DTL,DT34,11,103.9614726,1.341739784,Upper Changi
33,DTL,DT35,11,103.9623747,1.335382526,Expo
34,NEL,NE1,3,103.8215302,1.265389384,HarbourFront
35,NEL,NE3,4,103.8395135,1.279739707,Outram Park
36,NEL,NE4,4,103.8451438,1.284223919,Chinatown
37,NEL,NE5,5,103.8465552,1.288386024,Clarke Quay
38,NEL,NE6,5,103.8461152,1.298701306,Dhoby Ghaut
39,NEL,NE7,5,103.849647,1.306800026,Little India
40,NEL,NE8,4,103.8534777,1.311905573,Farrer Park
41,NEL,NE9,4,103.8615695,1.319335709,Boon Keng
